City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,severobaykal'sk,55.65,109.3167,13.23,97,69,1.4,RU,1691065543
240,saldanha,-33.0117,17.9442,27.03,48,2,8.84,ZA,1691065544
241,nagqu,31.5,92.0,13.99,65,100,2.78,CN,1691065545
242,lins,-21.6786,-49.7425,22.33,37,0,2.11,BR,1691065546
243,tibu,8.639,-72.7358,24.34,92,31,0.61,CO,1691065547
244,morondava,-20.2833,44.2833,27.33,52,0,5.02,MG,1691065249
245,coracao de jesus,-16.6853,-44.365,23.52,41,0,1.41,BR,1691065549
246,baghlan,35.75,69.0,28.46,14,0,4.31,AF,1691065550
247,sola,-13.8833,167.55,23.34,89,100,7.63,VU,1691065551
248,el calafate,-50.3408,-72.2768,2.4,92,43,5.63,AR,1691065552
249,sona,45.4388,10.8255,31.98,51,40,1.03,IT,1691065496
250,tazovsky,67.4667,78.7,22.42,50,8,5.41,RU,1691065554
251,cestos city,5.46,-9.5828,26.36,80,98,5.48,LR,1691065557
252,wichita falls,33.9137,-98.4934,29.07,49,0,6.69,US,1691065558
253,lata,40.1629,-8.3327,27.49,44,11,4.17,PT,1691065559
254,richards bay,-28.783,32.0377,23.08,40,0,6.31,ZA,1691065560
255,kenai,60.5544,-151.2583,12.27,97,0,4.63,US,1691065561
256,rengasdengklok,-6.1592,107.2981,30.07,86,23,3.03,ID,1691065562
257,cumana,10.4635,-64.1775,27.32,73,44,1.9,VE,1691065564
258,usinsk,65.9939,57.5281,28.52,37,23,0.74,RU,1691065565
259,mount darwin,-16.7725,31.5838,23.73,25,1,3.22,ZW,1691065566
260,berber,18.0216,33.983,36.7,29,32,6.78,SD,1691065567
261,shchuchyn,53.6014,24.7465,24.66,57,89,7.62,BY,1691065568
262,scone,56.4194,-3.4051,20.16,72,98,2.68,GB,1691065570
263,ciudad bolivar,8.1222,-63.5497,26.59,81,63,3.03,VE,1691065571
264,podporozh'ye,60.9112,34.1706,27.11,44,100,3.4,RU,1691065572
265,mary,37.0,62.5,41.34,4,0,10.11,TM,1691065573
266,kavaratti,10.5669,72.642,28.12,78,98,7.28,IN,1691065574
267,bel ombre,-4.6167,55.4167,25.91,78,75,4.63,SC,1691065575
268,altai,46.3722,96.2583,20.46,34,33,2.2,MN,1691065576
269,katabu,-4.9333,122.5167,25.12,85,16,2.87,ID,1691065577
270,fale old settlement,-9.3852,-171.2468,28.31,74,67,6.81,TK,1691065578
271,ust-nera,64.5667,143.2,13.41,53,16,2.36,RU,1691065579
272,aykhal,66.0,111.5,7.06,77,100,4.89,RU,1691065580
273,tamanrasset,22.785,5.5228,35.95,15,20,5.14,DZ,1691065582
274,vilyuchinsk,52.9306,158.4028,12.15,82,74,2.33,RU,1691065583
275,wanning,18.8003,110.3967,28.19,79,82,6.7,CN,1691065584
276,nurota,40.5614,65.6886,36.97,9,0,8.73,UZ,1691065585
277,cuatro cienegas de carranza,26.9833,-102.0833,23.76,59,3,1.47,MX,1691065586
278,merritt island,28.5392,-80.672,30.05,78,0,2.57,US,1691065587
279,sougueur,35.1857,1.4961,32.07,14,0,5.14,DZ,1691065588
280,linjiang,41.8069,126.9078,23.99,90,65,1.95,CN,1691065589
281,north bend,43.4065,-124.2243,15.95,94,100,3.09,US,1691065590
282,kharkhorin,47.1975,102.8238,18.14,73,92,2.09,MN,1691065592
